,frame_num,true_targets,sam_detects,sam_targets_in_queue,sam_targets_displayed
0,36,4,5,4,4
1,37,4,5,4,4
2,38,4,5,4,4
3,39,4,6,4,4
4,40,4,6,4,4
5,41,4,5,4,4
6,42,4,5,4,4
7,43,4,5,4,4
8,44,4,5,4,4
9,45,4,5,4,4
10,46,4,5,4,4
11,47,4,5,4,4
12,48,4,5,4,4
13,49,4,6,4,4
14,50,4,6,4,4
15,51,5,6,5,5
16,52,5,5,5,4
17,53,5,5,5,4
18,54,5,5,5,4
19,55,5,5,4,4
20,56,5,5,4,4
21,57,5,5,4,4
22,58,5,5,4,4
23,59,5,4,5,4
24,60,5,4,6,4
25,61,5,5,6,4
26,62,5,6,6,4
27,63,5,4,6,4
28,64,5,5,6,4
29,65,5,5,5,4
30,66,5,5,5,4
31,67,5,6,5,4
32,68,5,6,5,4
33,69,5,3,4,3
34,70,5,5,5,3
35,71,6,5,5,3
36,72,6,5,6,5
37,73,6,5,6,4
38,74,6,6,6,4
39,75,6,5,7,4
40,76,6,6,6,6
41,77,6,6,6,6
42,78,6,7,7,6
43,79,6,6,7,7
