,frame_num,true_targets,staticPd_detects,staticPd_targets_in_queue,staticPd_targets_displayed
0,7,0,3,1,1
1,8,1,3,1,1
2,9,1,3,1,1
3,10,1,3,1,1
4,11,1,2,1,1
5,12,1,2,1,1
6,13,1,2,1,1
7,14,1,2,1,1
8,15,1,3,1,1
9,16,1,2,1,1
10,17,1,2,1,1
11,18,1,2,1,1
12,19,1,2,1,1
13,20,1,2,1,1
14,21,1,2,1,1
15,22,1,2,1,1
16,23,1,2,1,1
17,24,1,2,1,1
18,25,1,2,1,1
19,26,1,3,1,1
20,27,1,3,1,1
21,28,1,3,2,2
22,29,2,3,2,2
23,30,2,3,2,2
24,31,2,3,2,2
25,32,2,3,2,2
26,33,2,3,2,2
27,34,2,3,2,2
28,35,2,3,2,2
29,36,2,3,2,2
30,37,2,3,2,2
31,38,2,2,2,2
32,39,2,2,1,1
33,40,2,2,1,1
34,41,2,3,2,2
35,42,2,3,2,2
36,43,2,3,2,2
37,44,2,2,2,2
38,45,2,2,2,2
39,46,2,2,2,2
40,47,2,2,2,2
41,48,2,2,2,2
42,49,2,2,2,2
43,50,2,2,2,2
44,51,2,2,2,2
45,52,2,2,2,2
46,53,2,2,2,2
47,54,2,2,1,1
48,55,2,2,1,1
49,56,2,2,2,2
50,57,3,2,2,2
51,58,3,2,2,2
52,59,3,3,3,3
53,60,3,3,3,3
54,61,3,3,3,3
55,62,3,3,3,3
56,63,3,3,3,3
57,64,3,3,3,3
58,65,3,3,3,3
59,66,3,3,3,3
60,67,3,3,3,3
61,68,3,3,3,3
62,69,3,3,3,3
63,70,3,3,3,3
64,71,3,3,3,3
65,72,3,3,3,3
66,73,3,3,3,3
67,74,3,3,3,3
68,75,3,3,3,3
69,76,3,3,3,3
70,77,3,3,3,3
71,78,3,3,3,3
72,79,3,3,3,3
73,80,3,3,3,3
74,81,3,3,3,3
75,82,3,3,3,3
76,83,3,3,3,3
77,84,3,3,3,3
78,85,3,2,2,2
79,86,3,2,2,2
80,87,3,2,2,2
81,88,3,3,3,3
82,89,3,2,2,2
83,90,3,2,2,2
84,91,3,2,2,2
85,92,3,2,2,2
